/Users/Johannes/PycharmProjects/internetstiftelsen_domänkontroll/venv/bin/python /Users/Johannes/PycharmProjects/internetstiftelsen_domänkontroll/check_if_free.py
['hinks.se', 'free']
['hivad.se', 'free']
['hivar.se', 'free']
['hivas.se', 'free']
['hjons.se', 'free']
['hjuls.se', 'free']
['hoade.se', 'free']
['hoars.se', 'free']
['hoats.se', 'free']
['holks.se', 'free']
['honas.se', 'free']
['hopad.se', 'free']
['hopar.se', 'free']
['hopas.se', 'free']
['hopat.se', 'free']
['hopen.se', 'free']
['hoper.se', 'free']
['horan.se', 'free']
['horas.se', 'free']
['horat.se', 'free']
['hords.se', 'free']
['horet.se', 'free']
['hosan.se', 'free']
['hotar.se', 'free']
['hoten.se', 'free']
['hudar.se', 'free']
['hugad.se', 'free']
['hugat.se', 'free']
['hugen.se', 'free']
['hukad.se', 'free']
['hukar.se', 'free']
['hukat.se', 'free']
['hulde.se', 'free']
['hulka.se', 'free']
['hunds.se', 'free']
['hunsa.se', 'free']
['husor.se', 'free']
['hutar.se', 'free']
['huvas.se', 'free']
['huven.se', 'free']
['huvor.se', 'free']
['hymen.se', 'free']
['hymns.se', 'free']
['hynda.se', 'free']
['hyrda.se', 'free']
['hyrde.se', 'free']
['hyrts.se', 'free']
['hyser.se', 'free']
['hyste.se', 'free']
['hyvad.se', 'free']
['hyvar.se', 'free']
['hyvas.se', 'free']
['hyvat.se', 'free']
['hyvla.se', 'free']
['idens.se', 'free']
['idets.se', 'free']
['idkar.se', 'free']
['idkat.se', 'free']
['idoga.se', 'free']
['idoge.se', 'free']
['idogt.se', 'free']
['ifjol.se', 'free']
['ifjor.se', 'free']
['igeln.se', 'free']
['igels.se', 'free']
['iglar.se', 'free']
['iglon.se', 'free']
['iglor.se', 'free']
['iglos.se', 'free']
['ikons.se', 'free']
['ilade.se', 'free']
['ilars.se', 'free']
['ilats.se', 'free']
['ilske.se', 'free']
['ilskt.se', 'free']
['inert.se', 'free']
['infam.se', 'free']
['ingav.se', 'free']
['inhyr.se', 'free']
['inhys.se', 'free']
['inkor.se', 'free']
['inrym.se', 'free']
['insup.se', 'free']
['intar.se', 'free']
['intas.se', 'free']
['intog.se', 'free']
['inval.se', 'free']
['isade.se', 'free']
['ivern.se', 'free']
['ivras.se', 'free']
['ivrat.se', 'free']
['jabot.se', 'free']
['jacks.se', 'free']
['jakts.se', 'free']
['jambs.se', 'free']
['jamet.se', 'free']
['javor.se', 'free']
['jigen.se', 'free']
['joden.se', 'free']
['joner.se', 'free']
['jords.se', 'free']
['joser.se', 'free']
['jotan.se', 'free']
['jotas.se', 'free']
['joxet.se', 'free']
['judar.se', 'free']
['juden.se', 'free']
['judes.se', 'free']
['judon.se', 'free']
['judos.se', 'free']
['julig.se', 'free']
['julis.se', 'free']
['juras.se', 'free']
['jurys.se', 'free']
['jutar.se', 'free']
['juten.se', 'free']
['jutes.se', 'free']
['juver.se', 'free']
['kabyl.se', 'free']
['kajor.se', 'free']
['kalif.se', 'free']
['kalvs.se', 'free']
['kants.se', 'free']
['kapun.se', 'free']
['kargt.se', 'free']
['karms.se', 'free']
['karps.se', 'free']
['karts.se', 'free']
['kavle.se', 'free']
['kelar.se', 'free']
['kelat.se', 'free']
['kelna.se', 'free']
['kelps.se', 'free']
['kelts.se', 'free']
['kemin.se', 'free']
['kemis.se', 'free']
['kiden.se', 'free']
['kidet.se', 'free']
['kilad.se', 'free']
['kilar.se', 'free']
['kilat.se', 'free']
['kilot.se', 'free']
['kiren.se', 'free']
['kisar.se', 'free']
['kisat.se', 'free']
['kisen.se', 'free']
['kiser.se', 'free']
['kivar.se', 'free']
['kjols.se', 'free']
['kjusa.se', 'free']
['klans.se', 'free']
['klare.se', 'free']
['klavs.se', 'free']
['klena.se', 'free']
['klent.se', 'free']
['klets.se', 'free']
['klevs.se', 'free']
['kliad.se', 'free']
['kliar.se', 'free']
['klias.se', 'free']
['kliat.se', 'free']
['kliet.se', 'free']
['klivs.se', 'free']
['klons.se', 'free']
['klors.se', 'free']
['kluts.se', 'free']
['klyvs.se', 'free']
['knalt.se', 'free']
['knegs.se', 'free']
['kneps.se', 'free']
['knips.se', 'free']
['knivs.se', 'free']
['knoga.se', 'free']
['knogs.se', 'free']
['knyts.se', 'free']
['kojar.se', 'free']
['kojas.se', 'free']
['kojat.se', 'free']
['kojer.se', 'free']
['kolat.se', 'free']
['kolen.se', 'free']
['kolet.se', 'free']
['kolts.se', 'free']
['kolvs.se', 'free']
['komas.se', 'free']
['komna.se', 'free']
['komps.se', 'free']
['konts.se', 'free']
['korad.se', 'free']
['koras.se', 'free']
['kords.se', 'free']
['koret.se', 'free']
['korgs.se', 'free']
['korma.se', 'free']
['korna.se', 'free']
['korns.se', 'free']
['korts.se', 'free']
['korva.se', 'free']
['korvs.se', 'free']
['kosan.se', 'free']
['kotan.se', 'free']
['kotas.se', 'free']
['kovas.se', 'free']
['kravs.se', 'free']
['kreti.se', 'free']
['kroms.se', 'free']
['krumt.se', 'free']
['kryat.se', 'free']
['kryps.se', 'free']
['kuban.se', 'free']
['kuber.se', 'free']
['kufar.se', 'free']
['kufen.se', 'free']
['kulen.se', 'free']
['kulna.se', 'free']
['kults.se', 'free']
['kunds.se', 'free']
['kungl.se', 'free']
['kupad.se', 'free']
['kupar.se', 'free']
['kupas.se', 'free']
['kupat.se', 'free']
['kupig.se', 'free']
['kurat.se', 'free']
['kurds.se', 'free']
['kusar.se', 'free']
['kutar.se', 'free']
['kutas.se', 'free']
['kutig.se', 'free']
['kutym.se', 'free']
['kuvar.se', 'free']
['kuvas.se', 'free']
['kuvat.se', 'free']
['kvald.se', 'free']
['kvals.se', 'free']
['kviga.se', 'free']
['kvots.se', 'free']
['kylan.se', 'free']
['kylda.se', 'free']
['kylde.se', 'free']
['kyles.se', 'free']
['kylts.se', 'free']
['kymig.se', 'free']
['kypar.se', 'free']
['kypen.se', 'free']
['lackt.se', 'free']
['ladyn.se', 'free']
['ladys.se', 'free']
['lagde.se', 'free']
['lagts.se', 'free']
['lands.se', 'free']
['lapsk.se', 'free']
['larms.se', 'free']
['larvs.se', 'free']
['lasur.se', 'free']
['laves.se', 'free']
['lavyr.se', 'free']
['ledan.se', 'free']
['ledas.se', 'free']
['ledat.se', 'free']
['legan.se', 'free']
['legas.se', 'free']
['legat.se', 'free']
['legor.se', 'free']
['lejda.se', 'free']
['lejts.se', 'free']
['lekts.se', 'free']
['lenar.se', 'free']
['lenat.se', 'free']
['leras.se', 'free']
['lerig.se', 'free']
['letas.se', 'free']
['levat.se', 'free']
['levda.se', 'free']
['levts.se', 'free']
['lians.se', 'free']
['lidet.se', 'free']
['lidna.se', 'free']
['liens.se', 'free']
['ligas.se', 'free']
['ligor.se', 'free']
['likad.se', 'free']
['likar.se', 'free']
['likas.se', 'free']
['liken.se', 'free']
['limen.se', 'free']
['linor.se', 'free']
['lipar.se', 'free']
['lipat.se', 'free']
['liras.se', 'free']
['lires.se', 'free']
['litar.se', 'free']
['livar.se', 'free']
['livas.se', 'free']
['ljuds.se', 'free']
['ljugs.se', 'free']
['ljumt.se', 'free']
['ljuse.se', 'free']
['ljuta.se', 'free']
['ljuve.se', 'free']
['ljuvt.se', 'free']
['loars.se', 'free']
['loben.se', 'free']
['lodar.se', 'free']
['lodas.se', 'free']
['lodat.se', 'free']
['lorta.se', 'free']
['lorts.se', 'free']
['luade.se', 'free']
['luats.se', 'free']
['ludet.se', 'free']
['ludna.se', 'free']
['ludne.se', 'free']
['lufts.se', 'free']
['lugns.se', 'free']
['lukta.se', 'free']
['lukts.se', 'free']
['lumps.se', 'free']
['lunks.se', 'free']
['lunta.se', 'free']
['lupit.se', 'free']
['lurat.se', 'free']
['lurks.se', 'free']
['lusar.se', 'free']
['lusat.se', 'free']
['lusig.se', 'free']
['lutad.se', 'free']
['lutan.se', 'free']
['lutar.se', 'free']
['lutas.se', 'free']
['luten.se', 'free']
['lutor.se', 'free']
['luvar.se', 'free']
['luvas.se', 'free']
['lyckt.se', 'free']
['lydas.se', 'free']
['lyder.se', 'free']
